"Code";"Name";"gross domestic product per capita;2000;[PLN]";"gross domestic product per capita;2001;[PLN]";"gross domestic product per capita;2002;[PLN]";"gross domestic product per capita;2003;[PLN]";"gross domestic product per capita;2004;[PLN]";"gross domestic product per capita;2005;[PLN]";"gross domestic product per capita;2006;[PLN]";"gross domestic product per capita;2007;[PLN]";"gross domestic product per capita;2008;[PLN]";"gross domestic product per capita;2009;[PLN]";"gross domestic product per capita;2010;[PLN]";"gross domestic product per capita;2011;[PLN]";"gross domestic product per capita;2012;[PLN]";"gross domestic product per capita;2013;[PLN]";"gross domestic product per capita;2014;[PLN]";"gross domestic product per capita;2015;[PLN]";"gross domestic product per capita;2016;[PLN]";"gross domestic product per capita;2017;[PLN]";"gross domestic product per capita;2018;[PLN]";"gross domestic product per capita;2019;[PLN]";"gross domestic product per capita;2020;[PLN]";"gross domestic product per capita;2021;[PLN]";"gross domestic product per capita;2022;[PLN]";"gross domestic product per capita;2023;[PLN]";"gross domestic product per capita;2024;[PLN]";
0000000;"POLAND";19648;20530;21311;22254;24551;26029;28149;31206;33855;35747;37896;41101;42624;43063;44998;47643;49160;52601;56581;60976;63577;71985;82079;90759;97357;
0200000;"DOLNOŚLĄSKIE";20088;20639;21744;22608;24621;26740;29983;33781;36444;38763;42655;46622;48121;47916;50268;53030;54405;58011;61712;66512;69460;79686;88480;96997;103643;
0400000;"KUJAWSKO-POMORSKIE";17515;18445;19056;19713;21558;22405;24266;26801;28896;29768;31385;33540;34551;35297;36662;38814;40044;42484;45883;48404;52331;59125;68130;72843;78539;
0600000;"LUBELSKIE";14239;15185;15622;16287;17599;18457;19670;22045;24279;24846;26486;28998;30283;30894;31951;33153;34413;36965;38967;42159;45003;50508;57467;62534;68770;
0800000;"LUBUSKIE";17530;18176;18719;19248;21726;23494;25237;27842;29301;30467;32281;34321;35570;36125;38339;39971;41482;43667;46562;49603;52322;59202;66799;72438;77733;
1000000;"ŁÓDZKIE";17583;18548;19626;20848;22826;24301;26258;29146;31748;33281;35589;38300;40057;40361;42360;44695;46039;49152;52725;57435;61458;68569;77383;86151;92091;
1200000;"MAŁOPOLSKIE";17648;18030;18914;19897;21743;23070;25424;27789;30273;31775;33286;36474;37584;38062;39985;42858;44457;47950;51984;55604;57503;65625;72946;80976;87269;
1400000;"MAZOWIECKIE";30139;31653;32333;33752;37274;40251;43656;48461;52208;55777;59303;64373;67247;68358;70909;75087;77268;83182;90007;98051;98747;109612;126381;142761;153228;
1600000;"OPOLSKIE";16263;16553;17209;17634;20818;21548;22835;26130;29006;29875;31915;34497;35422;35645;37749;39672;40397;43010;46096;49493;51572;60138;66678;72963;78488;
1800000;"PODKARPACKIE";14175;15041;15693;16491;17684;18645;19962;21829;24051;25131;26583;29074;30064;30909;32240;34074;35031;37042;40217;43396;45460;52000;58221;64987;71021;
2000000;"PODLASKIE";14756;16066;16641;17155;18421;19589;20828;23586;24999;26622;28605;31130;31625;32630;33893;35109;36154;39156;41911;45443;49135;54803;63697;70079;75601;
2200000;"POMORSKIE";19254;20078;21194;21887;23827;25505;27568;30556;32159;34767;36279;39285;41475;41243;42676;45597;47457;50528;54769;58954;59384;69075;80885;86643;92806;
2400000;"ŚLĄSKIE";20712;21775;22961;23946;27206;27850;29656;32710;35937;38245;40242;43719;44775;44398;46434;49190;50696;54151;58366;62097;63439;73819;85942;93591;97509;
2600000;"ŚWIĘTOKRZYSKIE";15618;16331;17229;18220;20055;20330;22444;25292;28233;28649;29728;31867;32476;32098;33597;35148;35949;38344;41681;44330;47801;53932;60075;67847;74695;
2800000;"WARMIŃSKO-MAZURSKIE";15183;15507;16016;17026;18476;19510;20923;23004;24867;26012;27785;29828;30731;31087;32712;34131;35401;37354;39334;41930;46112;51969;58536;64077;69137;
3000000;"WIELKOPOLSKIE";20999;21930;22259;23565;26285;28077;29971;33007;35767;38574;39688;43104;44914;45975;48142;51469;53406;57136;60801;65815;68144;76121;85665;95104;102129;
3200000;"ZACHODNIOPOMORSKIE";19292;19772;20215;20424;22015;23466;25181;27469;30080;30704;32633;34684;35967;36205;38222;40632;41511;44262;47554;50747;53922;60693;67261;74398;79783;
